command,intent,rooms,actions
Can you brighten the bathroom and puja kotha lights?,multi_room_control,"['bathroom', 'prayer room']","[{'room': 'bathroom', 'action': 'adjust_brightness', 'brightness': 0.8}, {'room': 'prayer room', 'action': 'adjust_brightness', 'brightness': 0.8}]"
Study room ko light red ra bardali ko batti off garnus.,multi_room_control,"['study room', 'balcony']","[{'room': 'study room', 'action': 'change_color', 'color': 'red'}, {'room': 'balcony', 'action': 'turn_off'}]"
Can you turn on the lights in the puja kotha and corridor?,multi_room_control,"['prayer room', 'corridor']","[{'room': 'prayer room', 'action': 'turn_on'}, {'room': 'corridor', 'action': 'turn_on'}]"
Mandir ra kausi ko batti dim gara.,multi_room_control,"['prayer room', 'terrace']","[{'room': 'prayer room', 'action': 'adjust_brightness', 'brightness': '0.1'}, {'room': 'terrace', 'action': 'adjust_brightness', 'brightness': '0.1'}]"
Sutney kotha ko lights green color ma change garera padhney kotha ko lights balnos.,multi_room_control,"['bedroom', 'study room']","[{'room': 'bedroom', 'action': 'change_color', 'color': 'green'}, {'room': 'study room', 'action': 'turn_on'}]"
Study room ko light buka ra bardali ko light off garnus.,multi_room_control,"['study room', 'balcony']","[{'room': 'study room', 'action': 'turn_on'}, {'room': 'balcony', 'action': 'turn_off'}]"
Turn off the lights in the dining area and chhat.,multi_room_control,"['dining area', 'terrace']","[{'room': 'dining area', 'action': 'turn_off'}, {'room': 'terrace', 'action': 'turn_off'}]"
Can you turn off the lights in the dining and store room?,multi_room_control,"['dining area', 'store room']","[{'room': 'dining area', 'action': 'turn_off'}, {'room': 'store room', 'action': 'turn_off'}]"
Can you change the light color to blue in the puja kotha and bathroom?,multi_room_control,"['prayer room', 'bathroom']","[{'room': 'prayer room', 'action': 'change_color', 'color': 'blue'}, {'room': 'bathroom', 'action': 'change_color', 'color': 'blue'}]"
Kausi ra mandir ko lights off garna milcha?,multi_room_control,"['terrace', 'prayer room']","[{'room': 'terrace', 'action': 'turn_off'}, {'room': 'prayer room', 'action': 'turn_off'}]"
Can you set the balcony lights to green and turn on the bedroom lights?,multi_room_control,"['balcony', 'bedroom']","[{'room': 'balcony', 'action': 'change_color', 'color': 'green'}, {'room': 'bedroom', 'action': 'turn_on'}]"
Turn on the lights in the bathroom and dining area.,multi_room_control,"['bathroom', 'dining area']","[{'room': 'bathroom', 'action': 'turn_on'}, {'room': 'dining area', 'action': 'turn_on'}]"
Store ra dining area ko lighting dim garnus.,multi_room_control,"['store', 'dining area']","[{'room': 'store', 'action': 'adjust_brightness', 'brightness': '0.3'}, {'room': 'dining area', 'action': 'adjust_brightness', 'brightness': '0.3'}]"
Padhney kotha ra sutney kotha ko batti balera color set to white.,multi_room_control,"['study room', 'bedroom']","[{'room': 'study room', 'action': 'turn_on'}, {'room': 'bedroom', 'action': 'change_color', 'color': 'white'}]"
Turn off the lights in the dining area and bathroom.,multi_room_control,"['dining area', 'bathroom']","[{'room': 'dining area', 'action': 'turn_off'}, {'room': 'bathroom', 'action': 'turn_off'}]"
Store room ra puja kotha ko lights off garnus.,multi_room_control,"['store room', 'prayer room']","[{'room': 'store room', 'action': 'turn_off'}, {'room': 'prayer room', 'action': 'turn_off'}]"
Baato ra bathroom ko batti blues ma change garnus.,multi_room_control,"['corridor', 'bathroom']","[{'room': 'corridor', 'action': 'change_color', 'color': 'blue'}, {'room': 'bathroom', 'action': 'change_color', 'color': 'blue'}]"
Padhney kotha ko batti red rakhna ani bardali ko light band garnus.,multi_room_control,"['study room', 'balcony']","[{'room': 'study room', 'action': 'change_color', 'color': 'red'}, {'room': 'balcony', 'action': 'turn_off'}]"
Sutney kothaa ko batti off garera padhney kothaa ko batti balnus.,multi_room_control,"['bedroom', 'study room']","[{'room': 'bedroom', 'action': 'turn_off'}, {'room': 'study room', 'action': 'turn_on'}]"
bardali ra study room ko batti on garnus.,multi_room_control,"['balcony', 'study room']","[{'room': 'balcony', 'action': 'turn_on'}, {'room': 'study room', 'action': 'turn_on'}]"
padhney kotha ko light 20% brightness rakhnus ra baranda ko batti on garnu.,multi_room_control,"['study room', 'balcony']","[{'room': 'study room', 'action': 'adjust_brightness', 'brightness': 0.2}, {'room': 'balcony', 'action': 'turn_on'}]"
Store ra bathroom ko lights dim garau.,multi_room_control,"['store', 'bathroom']","[{'room': 'store', 'action': 'adjust_brightness', 'brightness': '0.6'}, {'room': 'bathroom', 'action': 'adjust_brightness', 'brightness': '0.6'}]"
Can you turn off the bedroom lights and change the study room lights to green?,multi_room_control,"['bedroom', 'study room']","[{'room': 'bedroom', 'action': 'turn_off'}, {'room': 'study room', 'action': 'change_color', 'color': 'green'}]"
Bhaanchaa kotha ko batti off garera puja kotha ko lights on garnus.,multi_room_control,"['kitchen', 'prayer room']","[{'room': 'kitchen', 'action': 'turn_off'}, {'room': 'prayer room', 'action': 'turn_on'}]"
Baithak ra bhancha ko lights off garidinuhos.,multi_room_control,"['living room', 'kitchen']","[{'room': 'living room', 'action': 'turn_off'}, {'room': 'kitchen', 'action': 'turn_off'}]"
Chhat ra puja kotha ko lights dim gara na.,multi_room_control,"['terrace', 'prayer room']","[{'room': 'terrace', 'action': 'adjust_brightness', 'brightness': 0.5}, {'room': 'prayer room', 'action': 'adjust_brightness', 'brightness': 0.5}]"
